id,path,action,label
0,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-0HOiRx82ts_000011_000021.mp4,aaa,0
1,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-2jqFdD__ag_000255_000265.mp4,aaa,0
2,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-3B32lodo2M_000059_000069.mp4,aaa,0
3,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-3L-WLPIOuo_000092_000102.mp4,aaa,0
4,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-554HrHdv14_000097_000107.mp4,aaa,0
5,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-60KGw7ow0k_000198_000208.mp4,aaa,0
6,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-6rd6BQQM_g_000024_000034.mp4,aaa,0
7,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-6xAzSJcp_A_000041_000051.mp4,aaa,0
8,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-7kbO0v4hag_000107_000117.mp4,aaa,0
9,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-BIgUCoMCVE_000140_000150.mp4,aaa,0
10,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-CMo6AJhtZo_000075_000085.mp4,aaa,0
11,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-Cv3NwxG_8g_000087_000097.mp4,aaa,0
12,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-GoCs0lDXDo_000008_000018.mp4,aaa,0
13,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-JNfr9HZc5w_000113_000123.mp4,aaa,0
14,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-K-uDO6XEPA_000049_000059.mp4,aaa,0
15,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-NKy_8ynrKs_000082_000092.mp4,aaa,0
16,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-Oz98vEzVNs_000007_000017.mp4,aaa,0
17,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-QBYF6Gsfic_000146_000156.mp4,aaa,0
18,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-QJz_YH0TMA_000335_000345.mp4,aaa,0
19,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-Qhiiw9yJvc_000825_000835.mp4,aaa,0
20,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-R5bm4G2SpQ_000112_000122.mp4,aaa,0
21,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-TJ5RM7Lm04_000033_000043.mp4,aaa,0
22,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-UAghPqLTBI_000130_000140.mp4,aaa,0
23,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-WKCwDRp_jk_000000_000010.mp4,aaa,0
24,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-X7BUQa7Dr0_000422_000432.mp4,aaa,0
25,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-XWHqiqxDGs_000092_000102.mp4,aaa,0
26,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-Z1X9B-F04Q_000012_000022.mp4,aaa,0
27,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-_VFi7OFbJY_000064_000074.mp4,aaa,0
28,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-bwYZwnwb8E_000013_000023.mp4,aaa,0
29,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-dgPOUvDrcw_000066_000076.mp4,aaa,0
30,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-ePtRtm6Obk_000288_000298.mp4,aaa,0
31,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-hLv_HL6UhY_000151_000161.mp4,aaa,0
32,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-hUz_lQZsg0_000352_000362.mp4,aaa,0
33,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-hwUQqFadvE_000048_000058.mp4,aaa,0
34,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-iHdslkMmX4_000036_000046.mp4,aaa,0
35,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-lV7PUoy1to_000006_000016.mp4,aaa,0
36,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-lskrfFH45s_000041_000051.mp4,aaa,0
37,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-mOiPZGmKCQ_000036_000046.mp4,aaa,0
38,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-o4X5Z_Isyc_000085_000095.mp4,aaa,0
39,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-ogUB8T2Tx8_000029_000039.mp4,aaa,0
40,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-oww2bPbZIE_000189_000199.mp4,aaa,0
41,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-qAC8YY5F1Q_000040_000050.mp4,aaa,0
42,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-qBi-XmpFXU_000288_000298.mp4,aaa,0
43,/data2/zhxie/k600/kinetics-dataset/k600/abseiling/-smN9yTYWlM_000043_000053.mp4,aaa,0
